,address,rent,scrape_date,houseno,sttype,stname,zipcode,address_id
368,"701 Royal Ct APT 412, Charlotte, NC 28202",2800,2023-02-25,701,412,ROYAL CT APT,28202,701_ROYAL CT APT_412_28202
447,"2125 Scott Ave, Charlotte, NC 28203",2800,2023-02-25,2125,AVE,SCOTT,28203,2125_SCOTT_AVE_28203
559,"6504 Carsdale Pl, Charlotte, NC 28210",2800,2023-02-25,6504,PL,CARSDALE,28210,6504_CARSDALE_PL_28210
472,"769 Magnolia Ave, Charlotte, NC 28203",2795,2023-02-24,769,AVE,MAGNOLIA,28203,769_MAGNOLIA_AVE_28203
813,"13015 Heath Grove Dr, Huntersville, NC 28078",2795,2023-02-25,13015,DR,HEATH GROVE,28078,13015_HEATH GROVE_DR_28078
232,"3044 Scottcrest Way, Waxhaw, NC 28173",2795,2023-02-24,3044,WAY,SCOTTCREST,28173,3044_SCOTTCREST_WAY_28173
362,"9725 Autumn Applause Dr, Charlotte, NC 28277",2795,2023-02-25,9725,DR,AUTUMN APPLAUSE,28277,9725_AUTUMN APPLAUSE_DR_28277
411,"11007 Magna Ln, Indian Trail, NC 28079",2795,2023-02-24,11007,LN,MAGNA,28079,11007_MAGNA_LN_28079
234,"6245 Falls Lake Dr, Charlotte, NC 28270",2795,2023-02-24,6245,DR,FALLS LAKE,28270,6245_FALLS LAKE_DR_28270
230,"10605 Moberly Ct, Charlotte, NC 28277",2785,2023-02-24,10605,CT,MOBERLY,28277,10605_MOBERLY_CT_28277
547,"1512 Rama Rd, Charlotte, NC 28211",2780,2023-02-24,1512,RD,RAMA,28211,1512_RAMA_RD_28211
380,"1800 Lawton Bluff Rd, Charlotte, NC 28226",2775,2023-02-24,1800,RD,LAWTON BLUFF,28226,1800_LAWTON BLUFF_RD_28226
88,"3717 Smokerise Hill Dr, Charlotte, NC 28277",2750,2023-02-25,3717,DR,SMOKERISE HILL,28277,3717_SMOKERISE HILL_DR_28277
229,"1933 Russell Ave, Charlotte, NC 28216",2750,2023-02-24,1933,AVE,RUSSELL,28216,1933_RUSSELL_AVE_28216
464,"2003 Red Carpet Ct, Indian Trail, NC 28079",2750,2023-02-24,2003,CT,RED CARPET,28079,2003_RED CARPET_CT_28079
605,"17507 Chaco Ln, Charlotte, NC 28278",2749,2023-02-25,17507,LN,CHACO,28278,17507_CHACO_LN_28278
620,"13338 Mallard Landing Rd, Charlotte, NC 28278",2745,2023-02-25,13338,RD,MALLARD LANDING,28278,13338_MALLARD LANDING_RD_28278
572,"12553 Druids Glen Dr, Pineville, NC 28134",2745,2023-02-25,12553,DR,DRUIDS GLEN,28134,12553_DRUIDS GLEN_DR_28134
687,"7803 Taymouth Ln, Charlotte, NC 28269",2745,2023-02-25,7803,LN,TAYMOUTH,28269,7803_TAYMOUTH_LN_28269
622,"10311 Fairbourne Ct, Charlotte, NC 28269",2735,2023-02-25,10311,CT,FAIRBOURNE,28269,10311_FAIRBOURNE_CT_28269
136,"137 Cedar Knoll Cir, Pineville, NC 28134",2735,2023-02-24,137,CIR,CEDAR KNOLL,28134,137_CEDAR KNOLL_CIR_28134
789,"3339 Silver Pond Ct, Charlotte, NC 28210",2735,2023-02-25,3339,CT,SILVER POND,28210,3339_SILVER POND_CT_28210
44,"7606 Eben Dr, Charlotte, NC 28269",2710,2023-02-24,7606,DR,EBEN,28269,7606_EBEN_DR_28269
360,"14051 Old Vermillion Dr, Huntersville, NC 28078",2705,2023-02-25,14051,DR,OLD VERMILLION,28078,14051_OLD VERMILLION_DR_28078
